num_downloads,month
5998,2021-05-01
210528,2021-04-01
261306,2021-03-01
208629,2021-02-01
200292,2021-01-01
185558,2020-12-01
165467,2020-11-01
159182,2020-10-01
125764,2020-09-01
134622,2020-08-01
113975,2020-07-01
102193,2020-06-01
95485,2020-05-01
76085,2020-04-01
75738,2020-03-01
52630,2020-02-01
52370,2020-01-01
49377,2019-12-01
14949,2019-11-01
9915,2019-10-01
8203,2019-09-01
7764,2019-08-01
7702,2019-07-01
6723,2019-06-01
5397,2019-05-01
3406,2019-04-01
3335,2019-03-01
2645,2019-02-01
3008,2019-01-01
2370,2018-12-01
1201,2018-11-01
2013,2018-10-01
760,2018-09-01
304,2018-08-01
126,2018-07-01
