num_downloads,month
171964,2021-05-01
3185226,2021-04-01
3118447,2021-03-01
2911491,2021-02-01
2906360,2021-01-01
2972147,2020-12-01
2945933,2020-11-01
2661650,2020-10-01
2610125,2020-09-01
3069756,2020-08-01
3399554,2020-07-01
2709611,2020-06-01
2637276,2020-05-01
2592667,2020-04-01
2777268,2020-03-01
2626121,2020-02-01
2287734,2020-01-01
2262036,2019-12-01
2254694,2019-11-01
2273920,2019-10-01
2136461,2019-09-01
2143283,2019-08-01
2128429,2019-07-01
1793736,2019-06-01
1873789,2019-05-01
1479082,2019-04-01
1675911,2019-03-01
1621469,2019-02-01
1745570,2019-01-01
1415726,2018-12-01
1435265,2018-11-01
1493942,2018-10-01
1203501,2018-09-01
1106631,2018-08-01
346863,2018-07-01
337921,2018-06-01
479083,2018-05-01
421099,2018-04-01
389069,2018-03-01
303750,2018-02-01
363829,2018-01-01
327939,2017-12-01
317810,2017-11-01
302910,2017-10-01
207232,2017-09-01
339053,2017-08-01
310215,2017-07-01
263054,2017-06-01
169959,2017-05-01
188452,2017-04-01
134660,2017-03-01
92325,2017-02-01
84093,2017-01-01
68831,2016-12-01
64129,2016-11-01
46759,2016-10-01
40476,2016-09-01
37289,2016-08-01
33645,2016-07-01
32287,2016-06-01
7911,2016-05-01
2801,2016-03-01
14084,2016-02-01
3283,2016-01-01
