num_downloads,month
4277934,2021-05-01
19567185,2021-04-01
18130216,2021-03-01
16056558,2021-02-01
15427880,2021-01-01
13982381,2020-12-01
14152907,2020-11-01
14695388,2020-10-01
13731016,2020-09-01
11127731,2020-08-01
10703915,2020-07-01
10897157,2020-06-01
11469747,2020-05-01
11295127,2020-04-01
9838934,2020-03-01
9325354,2020-02-01
8389314,2020-01-01
7463747,2019-12-01
7671029,2019-11-01
7586836,2019-10-01
6757977,2019-09-01
7038849,2019-08-01
8899291,2019-07-01
7647998,2019-06-01
7625851,2019-05-01
6704397,2019-04-01
7703170,2019-03-01
4333697,2019-02-01
3938743,2019-01-01
3473729,2018-12-01
4125413,2018-11-01
3356138,2018-10-01
3475208,2018-09-01
3594221,2018-08-01
735736,2018-07-01
583225,2018-06-01
743444,2018-05-01
888620,2018-04-01
856165,2018-03-01
795800,2018-02-01
1154746,2018-01-01
1174010,2017-12-01
1042124,2017-11-01
1147512,2017-10-01
767429,2017-09-01
915547,2017-08-01
765772,2017-07-01
774630,2017-06-01
705952,2017-05-01
661115,2017-04-01
613922,2017-03-01
485325,2017-02-01
417540,2017-01-01
332329,2016-12-01
352485,2016-11-01
320808,2016-10-01
288877,2016-09-01
277418,2016-08-01
227159,2016-07-01
249888,2016-06-01
90420,2016-05-01
42141,2016-03-01
207340,2016-02-01
67879,2016-01-01
