num_downloads,month
5962293,2021-05-01
70926265,2021-04-01
73280530,2021-03-01
60018900,2021-02-01
61220438,2021-01-01
58851854,2020-12-01
58590804,2020-11-01
61294035,2020-10-01
61847719,2020-09-01
63331762,2020-08-01
46009236,2020-07-01
39351778,2020-06-01
39077774,2020-05-01
40563331,2020-04-01
40641035,2020-03-01
39071806,2020-02-01
50317197,2020-01-01
46427231,2019-12-01
38659877,2019-11-01
33069320,2019-10-01
28716230,2019-09-01
26020863,2019-08-01
24102174,2019-07-01
22238193,2019-06-01
20413249,2019-05-01
15169975,2019-04-01
19622475,2019-03-01
17545629,2019-02-01
14634795,2019-01-01
12093715,2018-12-01
13715484,2018-11-01
14563181,2018-10-01
12050137,2018-09-01
11497042,2018-08-01
3977386,2018-07-01
3512233,2018-06-01
3047696,2018-05-01
2940429,2018-04-01
2858565,2018-03-01
3260112,2018-02-01
3319596,2018-01-01
2951913,2017-12-01
3526568,2017-11-01
2935472,2017-10-01
2409072,2017-09-01
2817101,2017-08-01
3101590,2017-07-01
2971248,2017-06-01
2464201,2017-05-01
2324147,2017-04-01
2384210,2017-03-01
1688927,2017-02-01
1767298,2017-01-01
1466569,2016-12-01
1486620,2016-11-01
1462610,2016-10-01
1215475,2016-09-01
1408461,2016-08-01
1370011,2016-07-01
1133822,2016-06-01
384504,2016-05-01
148427,2016-03-01
786675,2016-02-01
256251,2016-01-01
