num_downloads,month
6281,2021-05-01
201691,2021-04-01
246324,2021-03-01
197771,2021-02-01
199778,2021-01-01
191070,2020-12-01
176533,2020-11-01
164622,2020-10-01
137287,2020-09-01
144498,2020-08-01
126210,2020-07-01
110651,2020-06-01
98836,2020-05-01
87070,2020-04-01
87346,2020-03-01
65125,2020-02-01
66275,2020-01-01
63084,2019-12-01
58999,2019-11-01
42100,2019-10-01
38531,2019-09-01
41608,2019-08-01
39324,2019-07-01
37915,2019-06-01
36568,2019-05-01
36419,2019-04-01
44714,2019-03-01
38565,2019-02-01
44452,2019-01-01
33578,2018-12-01
33861,2018-11-01
33888,2018-10-01
30503,2018-09-01
30905,2018-08-01
8795,2018-07-01
8454,2018-06-01
7757,2018-05-01
10341,2018-04-01
7961,2018-03-01
9320,2018-02-01
10549,2018-01-01
7442,2017-12-01
6563,2017-11-01
7485,2017-10-01
6813,2017-09-01
6997,2017-08-01
5820,2017-07-01
5427,2017-06-01
4689,2017-05-01
4890,2017-04-01
6902,2017-03-01
7781,2017-02-01
5550,2017-01-01
3129,2016-12-01
2629,2016-11-01
3935,2016-10-01
3095,2016-09-01
