num_downloads,month
47765,2021-05-01
1119148,2021-04-01
1207350,2021-03-01
1085606,2021-02-01
1114282,2021-01-01
1104357,2020-12-01
1176518,2020-11-01
1137945,2020-10-01
1078842,2020-09-01
1031978,2020-08-01
917798,2020-07-01
814252,2020-06-01
945901,2020-05-01
981061,2020-04-01
1048553,2020-03-01
830396,2020-02-01
687488,2020-01-01
689982,2019-12-01
617216,2019-11-01
663129,2019-10-01
541713,2019-09-01
470327,2019-08-01
477322,2019-07-01
450983,2019-06-01
536001,2019-05-01
427865,2019-04-01
400361,2019-03-01
231652,2019-02-01
248400,2019-01-01
240063,2018-12-01
230232,2018-11-01
192233,2018-10-01
288427,2018-09-01
427157,2018-08-01
195022,2018-07-01
174283,2018-06-01
45438,2018-05-01
32511,2018-04-01
25573,2018-03-01
26823,2018-02-01
34253,2018-01-01
32166,2017-12-01
26311,2017-11-01
30379,2017-10-01
30640,2017-09-01
34584,2017-08-01
41091,2017-07-01
34551,2017-06-01
32783,2017-05-01
26056,2017-04-01
24908,2017-03-01
15712,2017-02-01
16248,2017-01-01
9565,2016-12-01
9552,2016-11-01
9296,2016-10-01
16668,2016-09-01
11927,2016-08-01
23684,2016-07-01
8413,2016-06-01
2812,2016-05-01
1257,2016-03-01
4803,2016-02-01
1655,2016-01-01
