num_downloads,month
485908,2021-05-01
9772313,2021-04-01
9963298,2021-03-01
8594055,2021-02-01
8194753,2021-01-01
9903285,2020-12-01
12700306,2020-11-01
13243130,2020-10-01
11734840,2020-09-01
11475816,2020-08-01
14034648,2020-07-01
11959059,2020-06-01
13641486,2020-05-01
10289879,2020-04-01
8895453,2020-03-01
6833978,2020-02-01
6332941,2020-01-01
5610760,2019-12-01
4530435,2019-11-01
4409836,2019-10-01
3736299,2019-09-01
4018782,2019-08-01
4268647,2019-07-01
3382165,2019-06-01
3462475,2019-05-01
2769662,2019-04-01
3231622,2019-03-01
2499191,2019-02-01
2938590,2019-01-01
2186424,2018-12-01
2266951,2018-11-01
2198915,2018-10-01
1623570,2018-09-01
1778783,2018-08-01
586196,2018-07-01
490430,2018-06-01
621023,2018-05-01
603708,2018-04-01
552234,2018-03-01
438142,2018-02-01
585893,2018-01-01
504015,2017-12-01
500436,2017-11-01
446560,2017-10-01
356011,2017-09-01
364452,2017-08-01
282966,2017-07-01
277925,2017-06-01
219474,2017-05-01
224206,2017-04-01
198686,2017-03-01
160541,2017-02-01
94883,2017-01-01
78798,2016-12-01
20758,2016-11-01
15490,2016-10-01
