num_downloads,month
6349,2021-05-01
110233,2021-04-01
126427,2021-03-01
129466,2021-02-01
145198,2021-01-01
135684,2020-12-01
154895,2020-11-01
151820,2020-10-01
142848,2020-09-01
151157,2020-08-01
139079,2020-07-01
217813,2020-06-01
216265,2020-05-01
197845,2020-04-01
224448,2020-03-01
171517,2020-02-01
140622,2020-01-01
116901,2019-12-01
113509,2019-11-01
135982,2019-10-01
131172,2019-09-01
117940,2019-08-01
92432,2019-07-01
88812,2019-06-01
96073,2019-05-01
71274,2019-04-01
90054,2019-03-01
73837,2019-02-01
61615,2019-01-01
44850,2018-12-01
44470,2018-11-01
88173,2018-10-01
82740,2018-09-01
84750,2018-08-01
29031,2018-07-01
25207,2018-06-01
32574,2018-05-01
36108,2018-04-01
34482,2018-03-01
33695,2018-02-01
46015,2018-01-01
47716,2017-12-01
35730,2017-11-01
91355,2017-10-01
94070,2017-09-01
75112,2017-08-01
70287,2017-07-01
46851,2017-06-01
23162,2017-05-01
26928,2017-04-01
33437,2017-03-01
20504,2017-02-01
17696,2017-01-01
20826,2016-12-01
22371,2016-11-01
20443,2016-10-01
25842,2016-09-01
28547,2016-08-01
28439,2016-07-01
15728,2016-06-01
16363,2016-05-01
1576,2016-03-01
8024,2016-02-01
2375,2016-01-01
